url,title,price_usd,price_kgs,year,mileage_km,engine,transmission,city,image_url
https://mashina.kg/details/hyundai-palisade-69d9edc2bd505266779256,Hyundai Palisade I,23500,2055075,2019,96000,2.2 л.,автомат,Бишкек,https://im.mashina.kg/tachka/images/9/d/4/9d4ca180ea6cbf894b6a20f7c54928bb_640x480.jpg
https://mashina.kg/details/toyota-ist-69f81a0575c7f056898056,Toyota Ist II,11000,961950,2008,230136,1.8 л.,автомат,Бишкек,https://im.mashina.kg/tachka/images/6/e/9/6e93ec3c4dd7ce9093d9a0652aacd3a2_640x480.jpg
https://mashina.kg/details/kia-sorento-657339f11037d752287234,Kia Sorento III Prime Рестайлинг,29000,2536050,2017,100000,2.2 л.,автомат,Бишкек,https://im.mashina.kg/tachka/images/6/a/9/6a9fb3319425210464be7e1a44a68761_640x480.jpg
https://mashina.kg/details/lexus-rx-69f84e9de5528996800461,Lexus RX V,73500,6427575,2024,29999,2.5 л.,вариатор,Бишкек,https://im.mashina.kg/tachka/images/7/5/0/750d575923a83fe4f529c435f86d7c23_640x480.jpg
https://mashina.kg/details/toyota-4runner-69edb8d3b6f5d105013422,Toyota 4Runner IV Рестайлинг,18000,1574100,2006,18888,4.0 л.,автомат,Ош,https://im.mashina.kg/tachka/images/c/0/c/c0cbaeef42d27032aa25634b9366941f_640x480.jpg
https://mashina.kg/details/honda-crv-691ef43423a9a257835778,Honda CR-V III,11435,1000000,2007,356321,2.0 л.,автомат,Манас (Джалал-Абад),https://im.mashina.kg/tachka/images/5/c/0/5c0fcbf4ce5bdb19bdb9c205e804a80f_640x480.jpg
https://mashina.kg/details/kia-k3-69fdc2c07915f984981636,Kia K3 II,12000,1049400,2018,129000,1.6 л.,вариатор,Бишкек,https://im.mashina.kg/tachka/images/3/9/d/39daa517e6b83375b2a9cb8cbfdfb915_640x480.jpg
https://mashina.kg/details/chevrolet-spark-69fb2a68a4954712606800,Chevrolet Spark IV Рестайлинг,7200,629640,2019,70000,1.0 л.,вариатор,Бишкек,https://im.mashina.kg/tachka/images/5/1/e/51e4dfdde2b197fe5fc9bb2181d2f60b_640x480.jpg
https://mashina.kg/details/toyota-land-cruiser-prado-6a06cf14b0160f63d50b604d,Продажа Toyota Land Cruiser Prado 150 Series Рестайлинг 1 2015,28500,2492325,2015,123000,4.0 л.,автомат,Бишкек,https://storage.mashina.kg/catalog/images/2026-05-15/10033647/c919f8e1a7f5ea2427280d526d6745ef_medium.webp
https://mashina.kg/details/lexus-gx-69e88774c31c6209381553,Lexus GX I,25500,2229975,2007,292000,4.7 л.,автомат,Ош,https://im.mashina.kg/tachka/images/d/b/f/dbf0330c5918dcd31f7251e22e3091b5_640x480.jpg
https://mashina.kg/details/honda-fit-6a04661a02dceb11f812ecd8,Продажа Honda Fit I 2002,7204,630000,2002,164000,1.5 л.,автомат,Ош,https://storage.mashina.kg/catalog/images/2026-05-13/10031389/ba679085deb2c89506a589e403eb325f_medium.webp
https://mashina.kg/details/kia-k3-69fd4ecf39a43095113370,Kia K3 II,11600,1014420,2019,113000,1.6 л.,вариатор,Бишкек,https://im.mashina.kg/tachka/images/d/d/f/ddfb5781f88646fd6265303d76c6be18_640x480.jpg
https://mashina.kg/details/bmw-x5-6988daf7dc346379564602,BMW X5 IV (G05/G18),47000,4110150,2019,155000,3.0 л.,автомат,Бишкек,https://im.mashina.kg/tachka/images/0/c/9/0c903c38b531ad55f5ea9c9781cb541a_640x480.jpg
https://mashina.kg/details/toyota-camry-6a06e8b35f3c5ba025216bf4,Продажа Toyota Camry VII (XV50) Рестайлинг 2 2017,12300,1075635,2017,171000,2.5 л.,автомат,Бишкек,https://storage.mashina.kg/catalog/images/2026-05-15/10033817/78e606a563e830338a239e1049eab726_medium.webp
https://mashina.kg/details/toyota-camry-69f9b1275386f514233664,Toyota Camry VIII (XV70) Рестайлинг,23800,2081310,2020,72000,2.5 л.,вариатор,Бишкек,https://im.mashina.kg/tachka/images/1/4/a/14a80311d7fac857cbf70cd0a6878447_640x480.jpg
https://mashina.kg/details/renault-samsung-qm6-6a06e96ac3dd5a614a9b73e3,Продажа Renault Samsung QM6 I Рестайлинг 2020,12700,1110615,2020,170000,2.0 л.,вариатор,Бишкек,https://storage.mashina.kg/catalog/images/2026-05-15/10033829/c9aa92dcadebf313883cac92df4ce1ef_medium.webp
https://mashina.kg/details/bmw-x5-69b58a5350328277775328,BMW X5 IV (G05/G18),43900,3839055,2019,155000,3.0 л.,автомат,Бишкек,https://im.mashina.kg/tachka/images/9/7/e/97e7be37de7c72159a3a910c239d347f_640x480.jpg
https://mashina.kg/details/suzuki-escudo-69fabdff5c2ae679314469,Suzuki Escudo III,10200,891990,2006,113000,2.0 л.,автомат,с. Григорьевка,https://im.mashina.kg/tachka/images/9/5/e/95e5a71750825538970feb79bae942f0_640x480.jpg
